Accession ID	Collection date	Submission date	Location
EPI_ISL_1039831	2020-03-19	2021-02-20	Europe / Hungary / Baranya
EPI_ISL_1039836	2020-06-26	2021-02-20	Europe / Hungary / Budapest
EPI_ISL_1039837	2020-06-22	2021-02-20	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039838	2020-06-24	2021-02-20	Europe / Hungary / Nógrád
EPI_ISL_1039959	2020-03-30	2021-02-20	Europe / Hungary / Fejer
EPI_ISL_1039960	2020-06-01	2021-02-20	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039961	2020-06-10	2021-02-20	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039962	2020-06-11	2021-02-20	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039963	2020-06-12	2021-02-20	Europe / Hungary / Budapest
EPI_ISL_1039964	2020-06-12	2021-02-20	Europe / Hungary / Pest
EPI_ISL_1039965	2020-10-27	2021-02-20	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039966	2020-10-29	2021-02-20	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039967	2020-10-29	2021-02-20	Europe / Hungary / Pest
EPI_ISL_1039968	2020-10-29	2021-02-20	Europe / Hungary / Szabolcs-Szatmar-Bereg County
EPI_ISL_1039969	2020-10-29	2021-02-20	Europe / Hungary / Szabolcs-Szatmar-Bereg County
EPI_ISL_1039970	2020-10-29	2021-02-20	Europe / Hungary / Veszprem
EPI_ISL_1039971	2020-10-30	2021-02-20	Europe / Hungary / Csongrad-Csanad
EPI_ISL_1039972	2020-10-30	2021-02-20	Europe / Hungary / Nograd
EPI_ISL_1039973	2020-10-30	2021-02-20	Europe / Hungary / Nograd
EPI_ISL_1039974	2020-10-30	2021-02-20	Europe / Hungary / Vas
EPI_ISL_1039975	2020-10-31	2021-02-20	Europe / Hungary / Nograd
EPI_ISL_1039976	2020-10-31	2021-02-20	Europe / Hungary / Veszprem
EPI_ISL_1039977	2020-10-31	2021-02-20	Europe / Hungary / Veszprem
EPI_ISL_1039978	2020-10-31	2021-02-20	Europe / Hungary / Veszprem
EPI_ISL_1039979	2020-03-05	2021-02-21	Europe / Hungary / Hajdú-Bihar
EPI_ISL_1039980	2020-06-04	2021-02-21	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039981	2020-06-04	2021-02-21	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039982	2020-06-04	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039983	2020-06-03	2021-02-21	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039984	2020-06-02	2021-02-21	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1039985	2020-06-02	2021-02-21	Europe / Hungary / Nógrád
EPI_ISL_1039986	2020-06-02	2021-02-21	Europe / Hungary / Nógrád
EPI_ISL_1039987	2020-04-07	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039988	2020-04-07	2021-02-21	Europe / Hungary / Szabolcs-Szatmár-Bereg
EPI_ISL_1039989	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039990	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039991	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039992	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039993	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039994	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039995	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039996	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039997	2020-04-09	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1039998	2020-03-12	2021-02-21	Europe / Hungary / Hajdú-Bihar
EPI_ISL_1040119	2020-10-28	2021-02-21	Europe / Hungary / Nograd
EPI_ISL_1040120	2020-10-29	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040121	2020-10-29	2021-02-21	Europe / Hungary / Bacs-Kiskun
EPI_ISL_1040122	2020-10-29	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1040123	2020-10-28	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1040124	2020-10-28	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1040125	2020-10-29	2021-02-21	Europe / Hungary / Budapest
EPI_ISL_1040126	2020-10-25	2021-02-21	Europe / Hungary / Csongrad-Csanad
EPI_ISL_1040127	2020-10-30	2021-02-21	Europe / Hungary / Heves
EPI_ISL_1040128	2020-10-25	2021-02-21	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1040129	2020-10-29	2021-02-21	Europe / Hungary / Komarom-Esztergom
EPI_ISL_1040130	2020-10-26	2021-02-21	Europe / Hungary / Nograd
EPI_ISL_1040131	2020-10-29	2021-02-21	Europe / Hungary / Nograd
EPI_ISL_1040132	2020-10-26	2021-02-21	Europe / Hungary / Pest
EPI_ISL_1040133	2020-10-26	2021-02-21	Europe / Hungary / Pest
EPI_ISL_1040134	2020-10-30	2021-02-21	Europe / Hungary / Pest
EPI_ISL_1040135	2020-10-30	2021-02-21	Europe / Hungary / Pest
EPI_ISL_1040136	2020-10-26	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040137	2020-10-29	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040138	2020-10-29	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040139	2020-10-29	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040140	2020-10-29	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040141	2020-10-29	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040142	2020-10-29	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1040143	2020-10-26	2021-02-21	Europe / Hungary / Veszprem
EPI_ISL_1041195	2021-01-11	2021-02-22	Europe / Hungary / Pest county
EPI_ISL_1041196	2021-01-11	2021-02-22	Europe / Hungary / Pest county
EPI_ISL_1041197	2021-01-11	2021-02-22	Europe / Hungary / Pest county
EPI_ISL_1041198	2021-01-12	2021-02-22	Europe / Hungary / Somogy county
EPI_ISL_1041199	2021-01-19	2021-02-22	Europe / Hungary / Jász-Nagykun-Szolnok county
EPI_ISL_1041200	2021-01-21	2021-02-22	Europe / Hungary / Jász-Nagykun-Szolnok county
EPI_ISL_1041201	2021-01-21	2021-02-22	Europe / Hungary / Bács-Kiskun county
EPI_ISL_1041202	2021-01-21	2021-02-22	Europe / Hungary / Jász-Nagykun-Szolnok county
EPI_ISL_1041203	2021-01-22	2021-02-22	Europe / Hungary / Somogy county
