Accession ID	Collection date	Submission date	Location
EPI_ISL_10123048	2021-10-02	2022-02-21	Europe / Serbia / Prizren
EPI_ISL_10134142	2021-10-09	2022-02-21	Europe / Serbia / Indjija
EPI_ISL_10134143	2021-10-03	2022-02-21	Europe / Serbia / Vrsac
EPI_ISL_10134144	2021-10-05	2022-02-21	Europe / Serbia / Beograd
EPI_ISL_10134145	2021-09-06	2022-02-21	Europe / Serbia / Krusevac
EPI_ISL_10134146	2021-09-06	2022-02-21	Europe / Serbia / Prizren
EPI_ISL_10134147	2021-09-03	2022-02-21	Europe / Serbia / Varvarin
EPI_ISL_10134148	2021-09-04	2022-02-21	Europe / Serbia / Jagodina
EPI_ISL_10134149	2021-09-02	2022-02-21	Europe / Serbia / Bor
EPI_ISL_10134150	2021-12-13	2022-02-21	Europe / Serbia / Beograd
EPI_ISL_10134151	2021-04-19	2022-02-21	Europe / Serbia / Beograd
EPI_ISL_10134152	2021-04-16	2022-02-21	Europe / Serbia / Beograd
EPI_ISL_10134153	2021-03-03	2022-02-21	Europe / Serbia / Beograd
EPI_ISL_10138200	2021-09-05	2022-02-21	Europe / Serbia / Nis
EPI_ISL_1017679	2020-12-13	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017680	2020-12-30	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017681	2020-12-29	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017682	2021-01-10	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017683	2021-01-10	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017684	2021-01-10	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017685	2020-12-13	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017686	2020-12-18	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017687	2020-12-30	2021-02-18	Europe / Serbia / Novi Sad
EPI_ISL_1017688	2020-12-15	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017689	2020-12-18	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017690	2021-01-21	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017691	2020-12-06	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017692	2021-01-26	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017693	2021-01-26	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017694	2021-01-08	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017695	2021-01-08	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017696	2021-01-08	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017697	2021-01-08	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017698	2020-09-28	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017699	2020-12-31	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_1017700	2020-12-31	2021-02-18	Europe / Serbia / Belgrade
EPI_ISL_10411464	2021-08-06	2022-02-27	Europe / Serbia / StaraPazova
EPI_ISL_10411465	2021-09-02	2022-02-27	Europe / Serbia / Ub
EPI_ISL_10411466	2021-08-23	2022-02-27	Europe / Serbia / Beograd
EPI_ISL_10411467	2020-11-29	2022-02-27	Europe / Serbia / Beograad
EPI_ISL_10411468	2021-12-11	2022-02-27	Europe / Serbia / Leskovac
EPI_ISL_10411469	2021-12-11	2022-02-27	Europe / Serbia / Leskovac
EPI_ISL_10411470	2021-12-07	2022-02-27	Europe / Serbia / Svilajnac
EPI_ISL_10411471	2021-12-08	2022-02-27	Europe / Serbia / BelaPalanka
