Accession ID	Collection date	Submission date	Location
EPI_ISL_1016508	2021-01-20	2021-02-17	Europe / Bosnia and Herzegovina / Sarajevo
EPI_ISL_1016690	2020-12-25	2021-02-17	Europe / Bosnia and Herzegovina / Sarajevo
EPI_ISL_1016822	2021-01-15	2021-02-17	Europe / Bosnia and Herzegovina / Sarajevo
EPI_ISL_1016842	2021-01-16	2021-02-17	Europe / Bosnia and Herzegovina / Sarajevo
EPI_ISL_1016843	2021-01-28	2021-02-17	Europe / Bosnia and Herzegovina / Sarajevo
EPI_ISL_1016884	2021-02-04	2021-02-17	Europe / Bosnia and Herzegovina / Zenica
EPI_ISL_1016885	2021-02-05	2021-02-17	Europe / Bosnia and Herzegovina / Zenica
EPI_ISL_1016968	2021-02-09	2021-02-17	Europe / Bosnia and Herzegovina / Zenica
EPI_ISL_1016969	2021-02-09	2021-02-17	Europe / Bosnia and Herzegovina / Zenica
EPI_ISL_1016970	2021-02-11	2021-02-17	Europe / Bosnia and Herzegovina / Sarajevo
EPI_ISL_11402262	2021-09-02	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / Sipovo
EPI_ISL_11402263	2021-09-02	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402264	2021-09-02	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402266	2021-09-03	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / Sipovo
EPI_ISL_11402267	2021-09-15	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402268	2021-09-21	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / Ribnik
EPI_ISL_11402269	2021-09-27	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402271	2021-11-09	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402272	2021-11-11	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402273	2021-12-02	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402274	2021-12-06	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402275	2021-12-06	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402276	2021-12-06	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402277	2021-12-06	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402278	2021-12-06	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / BanjaLuka
EPI_ISL_11402279	2021-12-08	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / Prijedor
EPI_ISL_11402280	2021-12-08	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / KozarskaDubica
EPI_ISL_11402281	2021-12-08	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / KozarskaDubica
EPI_ISL_11402290	2022-02-02	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / Trebinje
EPI_ISL_11402291	2022-02-02	2022-03-25	Europe / Bosnia and Herzegovina / Republika Srpska / Celinac
