Accession ID	Collection date	Submission date	Location
EPI_ISL_10259061	2022-01-29	2022-02-23	Europe / North Macedonia / Gevgelija
EPI_ISL_10259063	2022-01-29	2022-02-23	Europe / North Macedonia / Gevgelija
EPI_ISL_13032694	2022-03-17	2022-05-31	Europe / North Macedonia / Skopje
EPI_ISL_9522378	2021-12-09	2022-02-04	Europe / North Macedonia / Bitola
EPI_ISL_9522379	2021-12-09	2022-02-04	Europe / North Macedonia / Kochani
EPI_ISL_9522380	2021-12-09	2022-02-04	Europe / North Macedonia / Kochani
EPI_ISL_9522381	2021-12-10	2022-02-04	Europe / North Macedonia / Bogdanci
EPI_ISL_9522382	2021-12-10	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522383	2021-12-14	2022-02-04	Europe / North Macedonia / Kochani
EPI_ISL_9522384	2021-12-15	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522385	2021-12-16	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522386	2021-12-20	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522387	2021-12-20	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522388	2021-12-20	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522389	2021-12-20	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522390	2021-12-22	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522391	2021-12-22	2022-02-04	Europe / North Macedonia / Tetovo
EPI_ISL_9522392	2021-12-24	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522393	2021-12-24	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522394	2021-12-24	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522395	2021-12-25	2022-02-04	Europe / North Macedonia / Kavadarci
EPI_ISL_9522396	2021-12-25	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522397	2021-12-27	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522398	2021-12-27	2022-02-04	Europe / North Macedonia / Ohrid
EPI_ISL_9522399	2021-12-27	2022-02-04	Europe / North Macedonia / Kavadarci
EPI_ISL_9522400	2021-12-28	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522401	2021-12-28	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522402	2021-12-28	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522403	2021-12-28	2022-02-04	Europe / North Macedonia / Struga
EPI_ISL_9522404	2021-12-28	2022-02-04	Europe / North Macedonia / Ohrid
EPI_ISL_9522405	2021-12-28	2022-02-04	Europe / North Macedonia / Skopje
EPI_ISL_9522406	2021-12-28	2022-02-04	Europe / North Macedonia / Berovo
EPI_ISL_9522407	2021-12-28	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522408	2021-12-28	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522409	2021-12-28	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522410	2021-12-28	2022-02-04	Europe / North Macedonia / Gevgelija
EPI_ISL_9522411	2021-12-29	2022-02-04	Europe / North Macedonia / Makedonski Brod
EPI_ISL_9522412	2021-12-29	2022-02-04	Europe / North Macedonia / Veles
EPI_ISL_9522413	2021-12-23	2022-02-04	Europe / North Macedonia / Kochani
EPI_ISL_9522414	2021-12-23	2022-02-04	Europe / North Macedonia / Kochani
