Accession ID	Collection date	Submission date	Location
EPI_ISL_11804519	2022-01-08	2022-04-06	Europe / Albania / Krume
EPI_ISL_12086771	2022-04-07	2022-04-16	Europe / Albania / Korce
EPI_ISL_1299856	2021-01-21	2021-03-19	Europe / Albania
EPI_ISL_1299858	2021-01-31	2021-03-19	Europe / Albania
EPI_ISL_1299859	2021-01-28	2021-03-19	Europe / Albania
EPI_ISL_1299860	2021-01-28	2021-03-19	Europe / Albania
EPI_ISL_1299861	2021-03-01	2021-03-19	Europe / Albania
EPI_ISL_1299862	2020-12-10	2021-03-19	Europe / Albania
EPI_ISL_1299863	2020-12-10	2021-03-19	Europe / Albania
EPI_ISL_1299864	2020-12-14	2021-03-19	Europe / Albania
EPI_ISL_1299865	2020-12-30	2021-03-19	Europe / Albania
EPI_ISL_1299866	2020-12-30	2021-03-19	Europe / Albania
EPI_ISL_1299867	2020-12-30	2021-03-19	Europe / Albania
EPI_ISL_1299868	2021-01-06	2021-03-19	Europe / Albania
EPI_ISL_1299869	2021-01-07	2021-03-19	Europe / Albania
EPI_ISL_1299870	2021-01-08	2021-03-19	Europe / Albania
EPI_ISL_1299871	2021-03-08	2021-03-19	Europe / Albania
EPI_ISL_1299874	2021-01-12	2021-03-19	Europe / Albania
EPI_ISL_1299875	2021-01-16	2021-03-19	Europe / Albania
EPI_ISL_1299876	2021-01-21	2021-03-19	Europe / Albania
EPI_ISL_1299877	2021-01-21	2021-03-19	Europe / Albania
EPI_ISL_1299879	2021-01-25	2021-03-19	Europe / Albania
EPI_ISL_1299880	2021-01-25	2021-03-19	Europe / Albania
EPI_ISL_1299881	2021-01-27	2021-03-19	Europe / Albania
EPI_ISL_1299882	2021-01-29	2021-03-19	Europe / Albania
EPI_ISL_1299884	2021-03-11	2021-03-19	Europe / Albania
EPI_ISL_16854826	2021-11-21	2023-02-07	Europe / Albania
EPI_ISL_16854827	2021-11-21	2023-02-07	Europe / Albania
EPI_ISL_16854829	2021-11-21	2023-02-07	Europe / Albania
EPI_ISL_16854841	2021-11-22	2023-02-07	Europe / Albania
EPI_ISL_16854842	2021-11-22	2023-02-07	Europe / Albania
EPI_ISL_16854844	2021-11-22	2023-02-07	Europe / Albania
EPI_ISL_16854845	2021-11-22	2023-02-07	Europe / Albania
EPI_ISL_16854849	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854850	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854852	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854853	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854854	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854856	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854859	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854861	2021-11-23	2023-02-07	Europe / Albania
EPI_ISL_16854867	2021-11-23	2023-02-07	Europe / Albania
