Sekvenca,PozicijeRazlika
hCoV-19/Serbia/P1135902-0210/2021|EPI_ISL_10123048|2021-10-02,210,241,3037,4181,4681,6402,7124,8986,9053,10029,11201,11332,12640,14408,15451,15952,16466,19220,21618,21987,22035,22036,22037,22038,22039,22040,22459,22923,23001,23317,23409,23610,24416,25475,26178,26776,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28308,28470,28890,28925,29411,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/P1169395-0910/2021|EPI_ISL_10134142|2021-10-09,210,241,1048,1437,2098,3037,4084,4181,6077,6247,6402,7124,8986,9053,10029,11201,11332,14408,14657,15451,16466,19220,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23317,23409,23610,24416,25419,25475,26776,27536,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28470,28890,28925,29411,29431,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/P1169549-0310/2021|EPI_ISL_10134143|2021-10-03,210,241,589,1048,1758,2282,2324,2746,3037,4181,5392,6402,7124,8208,8986,9053,10029,11201,11332,14408,15451,16466,19220,19245,20964,21618,21987,22035,22036,22037,22038,22039,22040,22110,22923,22999,23001,23409,23610,23689,24416,25475,25928,26226,26776,27647,27754,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28306,28470,28890,28925,29411,29566,29728,29751,29832,29833,29834,29835,29836,29837,29838,29839,29840,29841,29842,29843,29844,29845,29846,29847,29848,29849,29850,29851,29852,29853,29854,29855,29856,29857,29859,29860,29861,29862,29863,29864,29865,29866,29867,29868,29869,29870,29872,29873,29874,29875,29876,29877,29878,29879,29880,29881,29882,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/P1164915-0510/2021|EPI_ISL_10134144|2021-10-05,210,241,3037,4181,6402,7124,8986,9053,10029,11201,11332,14408,15451,15952,16466,17944,18744,19220,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23409,23610,24416,25055,25475,25526,25530,26776,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28308,28470,28890,28925,29411,29566,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J788010-0609/2021|EPI_ISL_10134145|2021-09-06,40,210,241,3037,4181,6402,7124,7164,8986,9053,10029,11201,11332,12076,14408,15451,15952,16466,19220,21618,21987,22035,22036,22037,22038,22039,22040,22798,22923,23001,23409,23610,24416,25475,26776,27647,27761,28257,28258,28259,28260,28261,28262,28279,28280,28470,28890,29411,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J788008-0609/2021|EPI_ISL_10134146|2021-09-06,210,241,1048,3037,3318,4181,6402,7124,8986,9053,10029,11201,11332,14408,15451,16466,19220,19979,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23409,23610,24416,25213,25475,26167,26776,27536,27653,27654,27655,27656,27657,27658,27659,27660,27661,27662,27663,27664,27665,27666,27667,27668,27669,27670,27671,27672,27673,27674,27675,27676,27677,27678,27679,27680,27681,27682,27683,27684,27685,27686,27687,27688,27689,27690,27691,27692,27693,27694,27695,27696,27697,27698,27699,27700,27701,27702,27703,27704,27705,27706,27707,27708,27709,27710,27711,27712,27713,27714,27715,27716,27717,27718,27761,27769,27770,27883,28257,28258,28259,28260,28261,28262,28279,28280,28470,28890,28925,29411,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J896273-0309/2021|EPI_ISL_10134147|2021-09-03,210,241,3037,4181,4827,5650,6402,7124,8986,9053,10029,11201,11332,14348,14408,15451,15952,16466,18744,19220,20762,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23409,23450,23610,24416,25475,26776,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28308,28470,28890,28925,29411,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J892297-0409/2021|EPI_ISL_10134148|2021-09-04,210,241,3037,3787,4181,6310,6402,7124,8326,8788,8986,9053,10029,10977,11201,11332,14408,15006,15451,16466,17766,19220,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23409,23610,24416,25475,26776,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28470,28890,28925,29411,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J784669-0209/2021|EPI_ISL_10134149|2021-09-02,210,241,3037,4181,5650,6402,7124,8986,9053,10029,11201,11332,14113,14348,14408,15451,15952,16466,18744,19220,20102,20762,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23409,23450,23610,24416,25475,26776,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28308,28470,28890,28925,29411,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J952861-1312/2021|EPI_ISL_10134150|2021-12-13,210,241,3037,4181,5305,6402,7124,8651,8986,9053,10029,11201,11332,12640,14408,15126,15451,15952,16466,19220,20262,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23409,23610,24416,25475,26690,26776,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28308,28470,28890,28925,28982,29124,29411,29449,29588,29751,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J335903-1904/2021|EPI_ISL_10134151|2021-04-19,241,913,3037,3267,3849,5388,5986,6954,7735,8950,11287,11288,11289,11290,11291,11292,11293,11294,11295,11296,14408,14676,15279,16176,21234,21575,21765,21766,21767,21768,21769,21770,21991,21992,21993,22341,23069,23277,23409,23610,23715,24512,24920,25664,25853,26738,27586,27981,28057,28120,28280,28289,28290,28291,28890,28891,28892,28986,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J350588-1604/2021|EPI_ISL_10134152|2021-04-16,241,913,1593,3037,3177,3267,5230,5388,5986,6954,10253,11287,11288,11289,11290,11291,11292,11293,11294,11295,11296,14408,14676,15279,16176,21765,21766,21767,21768,21769,21770,21991,21992,21993,23069,23277,23409,23610,23715,24512,24920,25806,27744,27981,28057,28120,28280,28289,28290,28291,28890,28891,28892,28986,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/J339262-0303/2021|EPI_ISL_10134153|2021-03-03,241,913,2201,3037,3267,3933,5388,5986,6954,8140,11287,11288,11289,11290,11291,11292,11293,11294,11295,11296,11750,12534,14408,14676,15279,16176,21765,21766,21767,21768,21769,21770,21991,21992,21993,23069,23277,23409,23610,23715,24512,24920,25943,27981,28057,28120,28280,28289,28290,28291,28890,28891,28892,28986,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
hCoV-19/Serbia/Nis-J705977-0509/2021|EPI_ISL_10138200|2021-09-05,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160,161,162,163,164,165,166,167,168,169,170,171,172,173,174,175,176,177,178,210,241,518,519,520,521,522,523,3037,4181,6310,6402,7124,8326,8986,9053,10029,10977,11201,11332,14408,15451,16466,19220,21618,21987,22035,22036,22037,22038,22039,22040,22923,23001,23409,23610,24416,25475,25664,26776,27587,27588,27589,27590,27591,27592,27593,27594,27595,27596,27597,27598,27599,27600,27601,27602,27603,27604,27605,27606,27607,27608,27609,27610,27611,27612,27613,27614,27647,27761,27883,28257,28258,28259,28260,28261,28262,28279,28280,28401,28470,28890,28925,29411,29751,29798,29799,29800,29801,29802,29803,29804,29805,29806,29807,29808,29809,29810,29811,29812,29813,29814,29815,29816,29817,29818,29819,29820,29821,29822,29823,29824,29825,29826,29827,29828,29829,29830,29831,29832,29833,29834,29835,29836,29837,29838,29839,29840,29841,29842,29843,29844,29845,29846,29847,29848,29849,29850,29851,29852,29853,29854,29855,29856,29857,29859,29860,29861,29862,29863,29864,29865,29866,29867,29868,29869,29870,29872,29873,29874,29875,29876,29877,29878,29879,29880,29881,29882,29883,29884,29885,29886,29887,29888,29889,29890,29891,29892,29893,29894,29895,29896,29897,29898,29899,29900,29901,29902,29903,29904,29905,29906,29907,29908,29909,29910,29911,29912,29913,29914
