Sekvenca,PozicijeRazlika
hCoV-19/Hungary/139_30/2020|EPI_ISL_1039831|2020-03-19,242,1060,3038,9191,14409,15381,23404,25564,30062,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2597_28/2020|EPI_ISL_1039836|2020-06-26,242,3038,4003,5951,8996,10098,13537,14409,19733,23404,23732,28882,28883,28884,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2593_3/2020|EPI_ISL_1039837|2020-06-22,1,2,3,4,5,6,7,8,9,10,242,3038,5366,5807,7625,8180,13177,14401,14409,23404,25972,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2629_17/2020|EPI_ISL_1039838|2020-06-24,1,2,3,4,5,6,7,8,9,242,1700,3038,4003,5951,10079,10098,13537,14409,19733,23404,23626,23732,24957,26682,28882,28883,28884,29001,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/363_1/2020|EPI_ISL_1039959|2020-03-30,1,2,3,4,5,6,242,3038,14409,16717,20269,20957,23404,23998,25484,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2144_22/2020|EPI_ISL_1039960|2020-06-01,242,1595,3038,4011,11110,14409,23404,25564,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2359_5/2020|EPI_ISL_1039961|2020-06-10,1,2,3,4,5,6,7,8,242,1595,3038,4011,9522,11110,14409,23404,25564,28908,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2388_4/2020|EPI_ISL_1039962|2020-06-11,242,1595,3038,4011,11110,14409,23404,25564,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2407_8/2020|EPI_ISL_1039963|2020-06-12,1,2,3,4,5,6,7,8,242,3038,14409,14787,23372,23404,24927,25001,26590,28270,28705,28813,28882,28883,28884,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2410_23/2020|EPI_ISL_1039964|2020-06-12,242,3038,4058,8141,13668,14409,20269,22469,23404,29026,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5098_23/2020|EPI_ISL_1039965|2020-10-27,1,2,3,4,5,6,7,8,242,3038,4544,5630,9527,11498,13994,14409,15767,16890,17020,18878,22993,23404,25564,25711,26736,26877,27410,28254,28976,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5226_8/2020|EPI_ISL_1039966|2020-10-29,1,2,3,4,5,6,7,8,9,10,242,3038,4544,5630,6177,9527,11498,13994,14409,15767,16890,17020,18878,22993,23404,24231,25460,25564,25711,25905,26736,26877,27410,28976,29428,29783,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5156_16/2020|EPI_ISL_1039967|2020-10-29,1,2,3,4,5,6,242,3038,4544,5630,9527,11498,13994,14409,15767,16890,17020,17704,18878,22993,23404,25564,25711,26736,26877,28976,29400,29428,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5244_19/2020|EPI_ISL_1039968|2020-10-29,1,2,3,4,5,6,7,8,9,10,242,3038,3097,4544,5630,7224,9527,11498,13994,14409,15767,16890,17020,18034,18878,22993,23404,24758,25564,25711,26711,26736,26877,27410,28976,29400,29428,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5244_24/2020|EPI_ISL_1039969|2020-10-29,1,2,3,4,5,6,7,8,9,10,242,3038,3262,4544,5630,9527,11498,13994,14409,15767,16890,17020,18878,22993,23404,25522,25564,25711,26736,26877,28976,29400,29428,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5273_8/2020|EPI_ISL_1039970|2020-10-29,242,982,3038,4544,5630,9527,11498,13994,14409,15767,16890,17020,18878,22993,23404,24643,25210,25564,25711,26736,26877,28976,29400,29428,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5304_27/2020|EPI_ISL_1039971|2020-10-30,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,211,242,3038,4544,5630,6318,9527,9857,11009,11498,13127,13994,14409,15767,16890,17020,17573,18878,22993,23404,25564,25711,26736,26877,27410,28976,29400,29428,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5311_24/2020|EPI_ISL_1039972|2020-10-30,242,4544,5630,8026,9527,11084,11498,13994,14409,15767,16890,17020,18878,22993,23404,24365,25564,25711,26736,26877,28976,29400,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5320_13/2020|EPI_ISL_1039973|2020-10-30,1,2,3,4,5,6,7,8,242,3038,4544,4871,5630,9527,11498,13994,14409,15767,16890,17020,18878,22993,23404,25564,25711,25827,26736,26877,28976,29400,29428,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5298_7/2020|EPI_ISL_1039974|2020-10-30,1,2,3,4,5,6,7,242,3038,4544,5630,9527,11498,13994,14409,15767,16890,17020,18878,22993,23404,25564,25711,26736,26877,27410,28976,29400,29950,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5332_30/2020|EPI_ISL_1039975|2020-10-31,242,3038,4544,5630,8714,9527,11084,11498,11573,13994,14409,15767,16890,17020,18878,19010,20490,22993,23404,25564,25711,26736,26877,28976,29400,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5316_13/2020|EPI_ISL_1039976|2020-10-31,242,3038,4544,5630,9527,11498,13994,14409,15767,16890,17020,18878,18918,22993,23404,25564,25711,26736,26877,28976,29400,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5319_1/2020|EPI_ISL_1039977|2020-10-31,242,3038,4544,5630,9527,11498,13994,14409,15767,16890,17020,18878,20390,22993,23404,25564,25711,26736,26877,28976,29400,29428,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/5329_4/2020|EPI_ISL_1039978|2020-10-31,242,1149,3038,4544,5630,9527,11498,13994,14056,14409,15767,16890,17020,18878,22993,23404,25564,25711,26736,26877,28976,29400,29428,30072,30073,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/44_3-2/2020|EPI_ISL_1039979|2020-03-05,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,242,3009,3038,14409,23404,28357,28882,28883,28884,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2248_18/2020|EPI_ISL_1039980|2020-06-04,1595,3038,4011,11110,14409,23404,25564,29621,30076,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2235_10/2020|EPI_ISL_1039981|2020-06-04,242,1595,3038,4011,5101,9144,11110,11531,14409,23404,25564,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2214_11/2020|EPI_ISL_1039982|2020-06-04,242,3038,14263,14409,14787,23404,28813,28882,28883,28884,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2196_22/2020|EPI_ISL_1039983|2020-06-03,242,1595,3038,4011,5101,11110,11531,14409,23404,25564
hCoV-19/Hungary/2168_27/2020|EPI_ISL_1039984|2020-06-02,242,1595,4011,11110,14409,23404,25564,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2149_27/2020|EPI_ISL_1039985|2020-06-02,242,2870,3038,7523,8439,12368,12460,14409,23404,23609,25208,25457,25889,28882,28883,28884,29096,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/2150_12/2020|EPI_ISL_1039986|2020-06-02,242,2870,3738,7523,12368,12460,14409,21953,23404,23609,25208,25457,28882,28883,28884,29096,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/472_11/2020|EPI_ISL_1039987|2020-04-07,242,3038,6697,8249,14409,14787,18089,23404,24821,28882,28883,28884,30074,30075,30076,30077,30078,30079,30080,30081,30082,30083,30084,30085,30086,30087,30088,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/473_31/2020|EPI_ISL_1039988|2020-04-07,242,3038,14409,16745,20269,21191,23404,26302,28227,30089,30090,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/533_14/2020|EPI_ISL_1039989|2020-04-09,242,3038,14409,14787,23404,28882,28883,28884,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/532_25/2020|EPI_ISL_1039990|2020-04-09,242,3038,14409,14787,23404,28882,28883,28884,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
hCoV-19/Hungary/532_26/2020|EPI_ISL_1039991|2020-04-09,242,3038,14409,14787,23404,25118,28882,28883,28884,30091,30092,30093,30094,30095,30096,30097,30098,30099,30100,30101,30102,30103,30104,30105,30106,30107,30108,30109,30110
